marker_EOI_content_after_num,marker_DQT_num,marker_DHT_num,file_markers_num,marker_DQT_size_max,marker_DHT_size_max,file_size,marker_COM_size_max,marker_APP1_size_max,marker_APP12_size_max
0,2,4,13,67,74,133029,12,0,0
0,2,4,11,67,74,192546,0,0,0
0,2,4,12,67,83,137960,0,0,0
0,2,4,11,67,76,180688,0,0,0
0,2,4,11,67,86,131572,0,0,0
0,2,4,12,67,77,117943,0,0,0
0,2,4,12,67,73,130023,0,0,0
0,2,4,12,67,72,139661,0,0,0
0,2,4,11,67,81,166412,0,0,0
0,2,4,11,67,73,120378,0,0,0
0,2,4,11,67,82,192168,0,0,0
0,2,4,12,67,73,181424,0,0,0
0,2,4,11,67,70,125888,0,0,0
0,2,4,12,67,77,163579,0,0,0
0,2,4,12,67,69,156364,0,0,0
0,2,4,11,67,75,180098,0,0,0
0,2,4,13,67,77,164258,12,0,0
0,2,4,12,67,76,101506,0,0,0
0,2,4,12,67,75,130341,0,0,0
0,2,4,11,67,72,128162,0,0,0
0,2,4,11,67,91,152158,0,0,0
0,2,4,11,67,79,148769,0,0,0
0,2,4,12,67,82,190342,0,0,0
0,2,4,11,67,78,30889,0,0,0
0,2,4,11,67,77,129673,0,0,0
0,2,4,11,67,77,154947,0,0,0
